"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.855305,0.6681601,0.1820631,2.0667925,0.4522871,0.3898963,2.8197175,0.9144999,0.3284671,2.73266,0.900705,0.471029,0.6312662,-96.6593686899329,-82.9673300502737,-123.293354476134,2.27690089471603,12.1686546636096,17.2801343522542,12.1686546636096,0.479105310060835,0,12515779.2980432,0.193492,64656754.1763662,1e-04,1,0.146805047988892,112.744428157806,"1_45_7",1,45,7,491,FALSE,TRUE,6,0.233915181414988,4,FALSE
"12",2.8888975,0.7726484,0.1498422,0.5531775,0.4746451,0.3896791,2.75172,0.8152763,0.2780437,1.2791275,0.8481924,0.4939375,0.6304115,-96.659353180809,-85.9308144668907,-126.787116709315,2.27690071392058,12.6499265899259,16.7155737948064,12.6499265899259,0.233758195073458,0,27873455.3314435,0.431042,64656754.1763662,1e-04,1,0.16118597984314,114.653160095215,"1_46_7",1,46,7,502,FALSE,TRUE,6,0.134688306282034,2,FALSE
"13",2.976415,0.7656162,0.02438229,1.994145,0.5331455,0.1808809,2.79454,0.9658414,0.3811477,2.5898825,0.9382957,0.356497,0.6306773,-96.6592652825991,-82.9673032016384,-123.293355330567,2.27689968925916,12.1686527181398,17.2801344116489,12.1686527181398,0.506602829478968,0,12047258.6572768,0.186245,64656754.1763662,1e-04,1,0.173779964447021,115.177739143372,"1_46_10",1,46,10,505,FALSE,TRUE,1,0.242717398030224,3,FALSE
"14",2.5366425,0.9925471,0.0415575,1.2272825,0.30879004,0.3271774,2.2846475,0.9672295,0.3169432,1.177535,0.7072446,0.5986325,0.6447746,-93.4604308704398,-95.5255123732588,-124.705463101637,2.2797107961053,12.2273086461937,16.5916143949864,12.2273086461937,0.263833907446069,0,5893740.75729491,0.0910634,64656754.1763662,1e-04,1,0.139225959777832,49.8542551994324,"2_28_4",2,28,4,301,FALSE,TRUE,4,0.126250470606106,5,FALSE
"15",2.753355,0.9761181,0.0538872,1.1610625,0.31042622,0.3058171,2.0790125,0.951343,0.1541812,2.23333,0.6744314,0.6280155,0.6428609,-93.4604199419051,-98.5583731498656,-130.353999172345,2.27971066423051,12.6166193835752,16.0604013358688,12.6166193835752,0.22270448063019,0,14315255.4281786,0.221326,64656754.1763662,1e-04,1,0.146697998046875,52.739776134491,"2_29_11",2,29,11,319,FALSE,TRUE,4,0.073805387711475,6,FALSE
"16",2.9266275,0.8764745,0.01837605,0.512006075,0.36547674,0.1929133,1.69142,0.8921279,0.3481504,1.781385,0.5571954,0.5620285,0.6467654,-93.4604327719778,-95.5255309392398,-124.705532424786,2.27971081905119,12.2273098221106,16.5916189698981,12.2273098221106,0.280539802659063,0,7888111.64714528,0.121912,64656754.1763662,1e-04,1,0.153475046157837,56.2806031703949,"2_31_11",2,31,11,341,FALSE,TRUE,6,0.128658890075079,5,FALSE
"17",2.926725,0.9629742,0.0637509,1.10809,0.31173522,0.2887291,1.9145025,0.951343,0.1541812,2.23333,0.6744314,0.651522,0.64133,-93.4604194157005,-98.5583734964555,-130.354004001386,2.27971065788079,12.6166194055362,16.0604016310876,12.6166194055362,0.233033446261532,0,21052461.9928624,0.325536,64656754.1763662,1e-04,1,0.146780967712402,57.5944790840149,"2_32_8",2,32,8,349,FALSE,TRUE,5,0.0747427100241377,6,FALSE
"18",2.594435,0.8686926,0.0374817,0.549572,0.3850507,0.2397406,1.6807775,0.8271476,0.12365896,2.998425,0.6109722,0.599525,0.632906,-96.6593562081447,-82.9673679082834,-123.293426030252,2.27690074921132,12.1686574068253,17.2801393262313,12.1686574068253,0.25483751502034,0,25556001.0898385,0.395196,64656754.1763662,1e-04,1,0.138079166412354,59.7276411056519,"2_33_10",2,33,10,362,FALSE,TRUE,3,0.187930906140374,6,FALSE
"19",2.41227,0.9994855,0.2309655,1.514865,0.30789348,0.2754595,2.47338,0.911744,0.3159364,1.744655,0.6660895,0.5977045,0.6333818,-96.659376864212,-82.9673501070626,-123.293360522638,2.27690099000655,12.1686561169375,17.280134772568,12.1686561169375,0.308781419997889,0,22841529.4265492,0.353209,64656754.1763662,1e-04,1,0.148252964019775,60.5893111228943,"2_34_4",2,34,4,367,FALSE,TRUE,4,0.193836024434155,5,FALSE
"20",2.9329675,0.9758724,0.0841047,0.8881675,0.4181992,0.3154819,1.9637075,0.8610094,0.10733491,2.3581975,0.6829007,0.6495715,0.6520967,-93.6754904626913,-98.8012106639567,-129.35306942099,2.2764480172594,12.4958341342651,16.005053878311,12.4958341342651,0.246735532939774,0,9074509.09142618,0.140263,64656754.1763662,1e-04,1,0.149852991104126,61.5683190822601,"2_34_10",2,34,10,373,FALSE,TRUE,6,0.0716598599362836,6,FALSE
"21",2.972415,0.9803524,0.1019886,1.3498025,0.306156556,0.3596005,2.7313725,0.9570242,0.3416821,0.9985275,0.7623829,0.648268,0.6576848,-93.7925633327709,-100.086127453859,-128.282570378904,2.27512584530418,12.3464173871684,15.945016588251,12.3464173871684,0.257143138211143,0,5142329.84913494,0.0794407,64656754.1763662,1e-04,1,0.167484045028687,62.4950592517853,"2_35_4",2,35,4,378,FALSE,TRUE,4,0.0684298074274897,5,TRUE
"22",2.9737775,0.9574232,0.0877755,0.8780225,0.31245244,0.3301033,1.7635175,0.9830222,0.1752232,2.62427,0.6811045,0.6280155,0.6428609,-93.4604140120524,-98.5583740668728,-130.354006151453,2.27971059267489,12.6166194416795,16.0604017625299,12.6166194416795,0.202188795242074,0,14315255.4281786,0.221326,64656754.1763662,1e-04,1,0.150562047958374,62.6548593044281,"2_35_5",2,35,5,379,FALSE,TRUE,1,0.0730532301356283,6,FALSE
"23",2.4562125,0.9943762,0.0498771,1.54681,0.4717765,0.3592723,2.2910775,0.9490883,0.1604239,1.53543,0.7454457,0.6676545,0.6314216,-96.6593391811244,-82.967350525107,-123.293376095567,2.27690055072119,12.1686561472292,17.2801358550969,12.1686561472292,0.35429935473108,0,21832661.6744919,0.337604,64656754.1763662,1e-04,1,0.149840116500854,62.8134641647339,"2_35_6",2,35,6,380,FALSE,TRUE,5,0.201650798832159,5,FALSE
