"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"261","tv_S",30,842.67010480403,2.29734216895455e-06,5.36732550830593,6.96169476729759e-07,842.67010480403,2.29734216895455e-06,5.36732550830593,6.96169476729759e-07,TRUE,0.6325325,-96.6593700475215,-82.967357656326,-123.293366896726,2.27690091054193,12.1686566639619,17.2801352156531,12.1686566639619,0.276263143716654,0,37273348.6783274,0.576438,64656754.1763662,1e-04,"2_39_3",2,39,3,421,3,7774236.44,49517.4295541401,79585.6611972876,30068.2316431474,4.03851629135595,0.220230475524517,0.25967168169848,8.1557470323463e-05,0.000108392651973938,9225.71762743139,5,FALSE,9.70689259751783e-05,3.30390293399257e-06,6.69505855335218e-05,0.000127462934671339,0.636534861103807
"262","ooh_S",40,1508.12190865517,4.11154025392119e-06,9.6058720296508,1.24593056524454e-06,1508.12190865517,4.11154025392119e-06,9.6058720296508,1.24593056524454e-06,TRUE,0.6325325,-96.6593700475215,-82.967357656326,-123.293366896726,2.27690091054193,12.1686566639619,17.2801352156531,12.1686566639619,0.276263143716654,0,37273348.6783274,0.576438,64656754.1763662,1e-04,"2_39_3",2,39,3,421,3,24719081.6,157446.379617834,161089.656248772,3643.27663093721,8.53646990508795,0.700248202805798,0.464732936405623,5.42182673606615e-05,6.10104344918371e-05,16390.6388854483,5,FALSE,5.79103488415731e-05,1.87687012533633e-06,4.06891520330133e-05,7.50648048835176e-05,0.398058427731472
"263","print_S",50,464.094416524664,1.26524445020678e-06,2.95601539187684,3.83410263712054e-07,464.094416524664,1.26524445020678e-06,2.95601539187684,3.83410263712054e-07,TRUE,0.6325325,-96.6593700475215,-82.967357656326,-123.293366896726,2.27690091054193,12.1686566639619,17.2801352156531,12.1686566639619,0.276263143716654,0,37273348.6783274,0.576438,64656754.1763662,1e-04,"2_39_3",2,39,3,421,3,1804904.93333333,11496.2097664544,15932.5794814932,4436.3697150388,1.17884451803076,0.0511297893770449,0.143012285494405,0.000102542015323224,0.000257129562867095,3889.08995468902,5,FALSE,0.000264582520632779,1.40984858527608e-05,0.000135210688337503,0.000393430289603416,0.111281535250956
"264","facebook_S",60,430.250272224975,1.17297633789498e-06,2.74044759378965,3.55450021509134e-07,430.250272224975,1.17297633789498e-06,2.74044759378965,3.55450021509134e-07,TRUE,0.6325325,-96.6593700475215,-82.967357656326,-123.293366896726,2.27690091054193,12.1686566639619,17.2801352156531,12.1686566639619,0.276263143716654,0,37273348.6783274,0.576438,64656754.1763662,1e-04,"2_39_3",2,39,3,421,3,1002234.0659765,6383.65647118789,6384.62066026417,0.964189076277762,0.857797295976687,0.0283915322926395,0.132583096401492,0.000134373975142347,0.000429291207344636,2329.42110830888,5,FALSE,0.00041124869051089,1.19800817629845e-05,0.000301483904464171,0.000520904058392624,0.00100303257082899
"265","(Intercept)",1294759.12892801,203277183.241697,0.554187562298568,1294759.12892801,0.167936863690931,203277183.241697,0.554187562298568,1294759.12892801,0.167936863690931,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"266","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"267","season",10,3742495.86530212,0.010203037190053,23837.5532821791,0.00309185225794783,3742495.86530212,0.010203037190053,23837.5532821791,0.00309185225794783,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"268","holiday",20,159779543.75295,0.435601450421227,6391181.75011799,0.828968874915123,159779543.75295,0.435601450421227,6391181.75011799,0.828968874915123,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"269","tv_S",30,659.592436070802,1.79822407231031e-06,4.20122570745734,5.44920405042636e-07,659.592436070802,1.79822407231031e-06,4.20122570745734,5.44920405042636e-07,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,7774236.44,49517.4295541401,79425.429232781,29907.9996786409,1.97229377504808,0.220230475524517,0.226189142263203,3.98302939552155e-05,8.48433722284374e-05,11786.4244870836,5,FALSE,9.70689259751783e-05,3.30390293399257e-06,6.69505855335218e-05,0.000127462934671339,0.513792133365579
"270","ooh_S",40,1279.98724502873,3.48958500793624e-06,8.152785000183,1.0574578025264e-06,1279.98724502873,3.48958500793624e-06,8.152785000183,1.0574578025264e-06,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,24719081.6,157446.379617834,159756.729829355,2310.3502115201,6.63403730687731,0.700248202805798,0.438936532968082,4.21352165923405e-05,5.17813430830995e-05,19311.9749403793,5,FALSE,5.79103488415731e-05,1.87687012533633e-06,4.06891520330133e-05,7.50648048835176e-05,0.265150192156121
"271","print_S",50,468.321475228237,1.27676865937391e-06,2.98293933266393,3.86902447656543e-07,468.321475228237,1.27676865937391e-06,2.98293933266393,3.86902447656543e-07,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,1804904.93333333,11496.2097664544,15909.3396027127,4413.12983625832,1.00306647085593,0.0511297893770449,0.160598010214208,8.72519283514515e-05,0.00025947154699352,3853.98711953944,5,FALSE,0.000264582520632779,1.40984858527608e-05,0.000135210688337503,0.000393430289603416,0.0948217352921178
"272","facebook_S",60,508.208916291332,1.3855124120006e-06,3.23699946682377,4.19855343037962e-07,508.208916291332,1.3855124120006e-06,3.23699946682377,4.19855343037962e-07,TRUE,0.6333818,-96.6593816690924,-82.9673507073196,-123.293370228995,2.27690104601876,12.1686561604325,17.2801354472908,12.1686561604325,0.318723948851549,0,22841529.4265492,0.353209,64656754.1763662,1e-04,"2_39_9",2,39,9,427,5,1002234.0659765,6383.65647118789,6435.25867657058,51.6022053826855,0.785346495093859,0.0283915322926395,0.174276314554507,0.000123024554757678,0.000507076074884935,1972.09067737404,5,FALSE,0.00041124869051089,1.19800817629845e-05,0.000301483904464171,0.000520904058392624,0.0150610995506314
"273","(Intercept)",1099119.83971759,172561814.835662,0.513443328872049,1099119.83971759,0.146273119149992,172561814.835662,0.513443328872049,1099119.83971759,0.146273119149992,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"274","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"275","season",10,3742495.86530212,0.0111354852010601,23837.5532821791,0.0031723504075628,3742495.86530212,0.0111354852010601,23837.5532821791,0.0031723504075628,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"276","holiday",20,159779543.75295,0.475410744308059,6391181.75011799,0.850551555765262,159779543.75295,0.475410744308059,6391181.75011799,0.850551555765262,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"277","tv_S",30,588.198945353589,1.75013704410207e-06,3.74649009779356,4.98590574627084e-07,588.198945353589,1.75013704410207e-06,3.74649009779356,4.98590574627084e-07,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,7774236.44,49517.4295541401,64226.9426480617,14709.5130939216,0.823522357471565,0.220230475524517,0.16761165796171,1.66309593386943e-05,7.56600278230783e-05,13217.0186658982,6,FALSE,6.23017246848166e-05,2.21835860723402e-06,3.77471218421596e-05,8.66885940269759e-05,0.280179295760545
"278","ooh_S",40,1888.70187227384,5.61967534631387e-06,12.0299482310435,1.60097014664005e-06,1888.70187227384,5.61967534631387e-06,12.0299482310435,1.60097014664005e-06,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,24719081.6,157446.379617834,159130.212298722,1683.83268088769,13.9823989728473,0.700248202805798,0.538199625667303,8.88073705269463e-05,7.64066360893374e-05,13087.8684258624,6,FALSE,6.58254911721504e-05,1.18998934575969e-06,5.26659876150578e-05,7.89195564816092e-05,0.589878396865655
"279","print_S",50,611.332943402673,1.81897033134904e-06,3.89384040383868,5.18200255113302e-07,611.332943402673,1.81897033134904e-06,3.89384040383868,5.18200255113302e-07,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,1804904.93333333,11496.2097664544,13367.7149070534,1871.50514059908,2.40998511030599,0.0511297893770449,0.174203862519233,0.00020963301464264,0.000338706450468641,2952.40908053679,6,FALSE,0.000292168806837491,8.73343791315235e-06,0.000195551054153999,0.000388228336947923,0.0664228630363917
"280","facebook_S",60,421.062385231751,1.25283610943756e-06,2.6819260205844,3.56916207118235e-07,421.062385231751,1.25283610943756e-06,2.6819260205844,3.56916207118235e-07,TRUE,0.6478889,-93.6755060277247,-98.8012261124236,-129.353133154859,2.27644820438802,12.495835101395,16.005057791007,12.495835101395,0.229270681397249,0,16666909.6724006,0.257701,64656754.1763662,1e-04,"2_40_3",2,40,3,432,4,1002234.0659765,6383.65647118789,6383.68645342853,0.0299822406368548,0.426859682381246,0.0283915322926395,0.119984853851754,6.68675835405371e-05,0.000420123800942149,2380.25076836268,6,FALSE,0.000386944066391954,1.01569227207938e-05,0.000275147636154564,0.000499229869388651,5.38001072383241e-06
