"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","cluster","top_sol"
"15","2_24_10",0,0.511895796699673,0.612332129603889,0.529171106251703,0.092186061502049,0.402015016871099,0.11579394513563,0.444141772862778,0.380244974761659,2,FALSE
"16","2_24_8",0,0.621136161729605,0.618626108264095,0.537850479583384,0.0936452854679448,0.456102343499626,0,0.877115675443983,0.360669481713279,9,FALSE
"17","2_32_10",0,0.434314282604103,0.618626531100261,0.537851249338258,0.0936452935731909,0.456102343499626,0.62695480630971,0.877115675443983,0.47353436021854,9,FALSE
"18","2_32_3",0,0.57467211635308,0.571615192215605,0.483144576233467,0.084895854251157,0.582391763189004,0.164818198570065,0.914219367275362,0.5162319723545,9,FALSE
"19","2_33_1",0,0.529295160815843,0.607641003976383,0.523661875052048,0.091335071397313,0.552924974809552,0.185549704449466,0.604545526101906,0.517101065732288,9,FALSE
"20","2_35_7",0,0.453319435294201,0.61862646189047,0.537851475750776,0.0936452957273741,0.456102343499626,0.62695480630971,1,0.47353436021854,9,FALSE
"21","2_38_4",0,0.425004173526496,0.618626704930388,0.537851222019899,0.093645268179273,0.456102343499626,0.542040215172985,0.605407260301798,0.618030787621938,9,FALSE
"22","2_43_9",0,0.359096247832205,0.618626717660714,0.537851323405151,0.0936452623684067,0.456102343499626,0.553163700786064,0.279898747603727,0.47353436021854,5,FALSE
"23","2_44_5",0,0.446441181816654,0.703242775027629,0.649504290148524,0.109512903555316,0.70638161073788,0.371355806772787,0.349098869440216,0.370117208315815,5,FALSE
"24","2_46_3",0,0.369498973425338,0.743646952031656,0.724012350955359,0.119053489042088,0.412939243928185,0.668902286703834,0.605404705000949,0.381821995054443,9,TRUE
"25","2_46_6",0,0.433809656167385,0.61862653007949,0.537851252500296,0.0936452932104775,0.456102343499626,0.62695480630971,0.873896580845601,0.47353436021854,9,FALSE
"26","2_46_7",0,0.264086320536745,0.946014320802062,0.834919768900857,0.136868521622055,0.288838006214701,0.844682535875951,0.172961229225242,0.538990531265613,6,FALSE
"27","3_14_1",0,0.431523898443296,0.610987098971354,0.453697950239527,0.0747294075430075,0.641174780213201,0.350659344702763,0.364075779063045,0.159486244668748,5,FALSE
"28","3_15_6",0,0.45431463815279,0.589479533227292,0.448459258731923,0.0731476303006814,0.194295858036055,0.449507657143679,0.377316017794517,1,1,FALSE
"29","3_16_9",0,0.282646073185341,0.610987237635126,0.453697803920028,0.074729413297413,0.228350319472901,0.77265239710843,0.428958456254661,0.255526158688618,3,FALSE
"30","3_18_3",0,0.438521914834474,0.606689267540727,0.45220002077116,0.0743836904392154,0.220537303661258,0.449507657143679,0.382796053187745,0.87920038020362,1,FALSE
"31","3_18_8",0,0.158570172787185,1.49770690568026,1.51154975200884,0.229047098646193,0.0348105248443156,0.722798972698545,0.120647546273236,0.0477035053309455,8,FALSE
"32","3_19_6",0,0.521135960997969,0.610986988863149,0.453697670091634,0.0747294071061588,0.641174780213201,0.156837887165891,0.487234560098021,0.282307212584395,2,FALSE
